experiment,img_set,filename,y_shift,x_shift
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-0,7.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-1,13.0,-3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-2,22.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-3,17.0,-10.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-4,11.0,-16.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-5,-5.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-6,4.0,-38.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-145812,20201113-145812-7,-9.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-0,12.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-1,15.0,0.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-2,22.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-3,28.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-4,-6.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-5,-13.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-6,12.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-151253,20201113-151253-7,0.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-0,8.0,7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-1,16.0,0.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-2,24.0,1.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-3,31.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-4,6.0,-8.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-5,-9.0,-18.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-6,9.0,-27.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-152733,20201113-152733-7,-5.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-0,10.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-1,13.0,0.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-2,22.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-3,29.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-4,5.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-5,0.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-6,6.0,-30.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-154220,20201113-154220-7,-6.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-0,12.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-1,14.0,-10.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-2,21.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-3,29.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-4,5.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-5,-2.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-6,5.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-155706,20201113-155706-7,-5.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-0,5.0,7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-1,11.0,-2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-2,18.0,3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-3,29.0,-5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-4,4.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-5,-7.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-6,3.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-161157,20201113-161157-7,-12.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-0,6.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-1,7.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-2,13.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-3,25.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-4,3.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-5,-2.0,-23.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-6,-1.0,-26.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-162641,20201113-162641-7,-13.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-0,10.0,8.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-1,17.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-2,18.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-3,23.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-4,5.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-5,-17.0,-19.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-6,4.0,-29.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-164133,20201113-164133-7,-7.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-0,9.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-1,10.0,-3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-2,17.0,2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-3,26.0,-5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-4,7.0,73.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-5,-2.0,-22.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-6,-5.0,-22.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-165617,20201113-165617-7,-1.0,3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-0,6.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-1,19.0,-3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-2,12.0,3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-3,27.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-4,-9.0,-5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-5,-6.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-6,4.0,-26.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-171102,20201113-171102-7,-8.0,5.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-0,20.0,7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-1,9.0,-3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-2,16.0,3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-3,26.0,-4.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-4,6.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-5,-3.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-6,-4.0,-20.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-172544,20201113-172544-7,-34.0,11.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-0,7.0,6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-1,5.0,-6.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-2,13.0,3.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-3,15.0,-2.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-4,6.0,-7.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-5,-3.0,-18.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-6,3.0,-28.0
20201113_CCI_Normalization_microscpy_split_background_subtracted,20201113-174032,20201113-174032-7,-9.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-0,29.0,-1.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-1,-4.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-2,-14.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-3,-18.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-4,-5.0,8.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-5,-11.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-6,-25.0,10.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-160402,20201119-160402-7,-27.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-0,25.0,-1.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-1,-4.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-2,-14.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-3,-13.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-4,-6.0,8.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-5,-12.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-6,-23.0,9.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-161844,20201119-161844-7,-20.0,0.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-0,36.0,-5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-1,-6.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-2,-8.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-3,-3.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-4,-9.0,231.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-5,-16.0,17.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-6,-47.0,13.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-170233,20201119-170233-7,-26.0,16.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-0,36.0,-5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-1,-5.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-2,-3.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-3,-12.0,2.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-4,-5.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-5,-12.0,6.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-6,-29.0,10.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-171712,20201119-171712-7,-32.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-0,31.0,-4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-1,4.0,0.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-2,-4.0,0.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-3,-11.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-4,-5.0,3.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-5,-14.0,5.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-6,-27.0,10.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-173139,20201119-173139-7,-34.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-0,46.0,-6.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-1,0.0,-16.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-2,3.0,-2.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-3,3.0,0.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-4,-6.0,4.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-5,-22.0,6.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-6,-29.0,10.0
20201119_CCI_Normalization_microscopy_split_background_subtracted,20201119-174611,20201119-174611-7,-38.0,5.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-0,2.0,0.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-1,0.0,0.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-2,6.0,0.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-3,-8.0,3.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-4,-2.0,1.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-5,-15.0,3.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-6,-4.0,4.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-155708,20201207-155708-7,14.0,0.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-0,-8.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-1,-3.0,10.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-2,9.0,7.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-3,-4.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-4,0.0,5.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-5,-4.0,10.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-6,-7.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-161151,20201207-161151-7,7.0,4.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-0,-9.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-1,4.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-2,-2.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-3,-11.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-4,-3.0,6.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-5,-3.0,10.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-6,-37.0,16.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-162637,20201207-162637-7,3.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-0,-5.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-1,0.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-2,4.0,7.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-3,-7.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-4,-2.0,4.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-5,-7.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-6,-14.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-164123,20201207-164123-7,2.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-0,-11.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-1,1.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-2,5.0,6.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-3,-6.0,10.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-4,0.0,5.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-5,-2.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-6,-15.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-165608,20201207-165608-7,3.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-0,-3.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-1,0.0,14.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-2,2.0,5.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-3,-16.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-4,0.0,3.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-5,0.0,7.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-6,-5.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-171051,20201207-171051-7,4.0,6.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-0,-3.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-1,0.0,13.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-2,7.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-3,-12.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-4,-1.0,2.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-5,0.0,10.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-6,-4.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-172534,20201207-172534-7,-29.0,21.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-0,-1.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-1,2.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-2,-3.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-3,-29.0,13.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-4,0.0,3.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-5,-3.0,11.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-6,-9.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-174021,20201207-174021-7,2.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-0,-6.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-1,-1.0,15.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-2,5.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-3,-15.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-4,-7.0,3.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-5,-3.0,10.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-6,-9.0,-23.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-175505,20201207-175505-7,-1.0,16.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-0,0.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-1,-3.0,20.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-2,1.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-3,-9.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-4,0.0,4.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-5,-5.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-6,-37.0,23.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-180948,20201207-180948-7,-1.0,19.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-0,-7.0,5.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-1,-6.0,22.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-2,0.0,6.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-3,-15.0,6.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-4,-8.0,2.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-5,0.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-6,-2.0,14.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-182431,20201207-182431-7,0.0,18.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-0,-2.0,8.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-1,0.0,16.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-2,0.0,9.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-3,-31.0,-344.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-4,-1.0,1.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-5,-1.0,14.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-6,-2.0,12.0
20201207_CCI_Normalization_Microscopy_Split_4C,20201207-183917,20201207-183917-7,-36.0,25.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-0,-9.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-1,-1.0,0.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-2,2.0,3.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-3,1.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-4,-5.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-5,-3.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-6,-3.0,4.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-123016,20201209-123016-7,13.0,-2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-0,-6.0,0.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-1,-6.0,-1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-2,1.0,4.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-3,4.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-4,-1.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-5,-4.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-6,-1.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-125934,20201209-125934-7,9.0,-2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-0,-4.0,0.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-1,-8.0,0.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-2,-12.0,6.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-3,-1.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-4,1.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-5,-10.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-6,-6.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-131422,20201209-131422-7,17.0,-2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-0,-5.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-1,-3.0,1.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-2,-7.0,6.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-3,-3.0,3.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-4,-6.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-5,-10.0,3.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-6,-3.0,2.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-132905,20201209-132905-7,-7.0,0.0
20201209_CCI_Normalization_Microscopy_Split_room_temp,20201209-135831,20201209-135831-0,-4.0,1.0
